Monat,Lat,Long,Ort,Durchschnitt
2020-10,41.3788,2.1331,Sants,26.289
2020-10,41.3853,2.1538,Eixample,40.114
2020-10,41.3987,2.1534,Gràcia,35.395
2020-10,41.3864,2.1874,Ciutadella,23.683
2020-10,41.4261,2.148,Vall Hebron,24.040
2020-10,41.3875,2.1151,Palau Reial,18.242
2020-11,41.4039,2.2045,Poblenou,38.589
2020-11,41.3788,2.1331,Sants,32.787
2020-11,41.3853,2.1538,Eixample,46.006
2020-11,41.3987,2.1534,Gràcia,41.050
2020-11,41.3864,2.1874,Ciutadella,29.442
2020-11,41.4261,2.148,Vall Hebron,29.125
2020-11,41.3875,2.1151,Palau Reial,24.742
